vmNumber,institutionCode,URL,scientificName,country,stateProvince,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,recordedBy
9825,ADU-UCT,http://vmus.adu.org.za/?vm=spidermap-9825,Ceratogyrus darlingi,Zimbabwe,Harare,Workington,-17.84319,31.013718,2018-11-23,Rajesh Jagjivan
9839,ADU-UCT,http://vmus.adu.org.za/?vm=spidermap-9839,Ceratogyrus darlingi,Zimbabwe,Harare,Science Park,-17.69907,31.084321,2017-03-23,Amy Baumhoff
10423,ADU-UCT,http://vmus.adu.org.za/?vm=spidermap-10423,Ceratogyrus darlingi,Zimbabwe,Harare,Downlands Park,-17.79381,31.134594,2019-02-06,Jan Stander
