vmNumber,institutionCode,URL,scientificName,country,stateProvince,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,recordedBy
3780,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3780,Parabuthus capensis,South Africa,Northern Cape,Brak Farm,-30.6049,22.144305,2019-03-30,Tippett RM
3781,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3781,Parabuthus schlechteri,South Africa,Northern Cape,Brak Farm,-30.6049,22.144305,2019-03-30,Tippett RM
3806,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3806,Parabuthus granulatus,South Africa,Northern Cape,Brak Farm,-30.6027,22.126757,2019-03-12,Tippett RM
3948,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3948,Opistophthalmus crassimanus,South Africa,Northern Cape,Brak Farm,-30.60421,22.123744,2019-10-18,Tippett RM
3949,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3949,Opistophthalmus crassimanus,South Africa,Northern Cape,Brak Farm,-30.60421,22.123744,2019-10-18,Tippett RM
3950,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3950,Opistophthalmus crassimanus,South Africa,Northern Cape,Brak Farm,-30.60421,22.123744,2019-10-18,Tippett RM
3988,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3988,Parabuthus capensis,South Africa,Northern Cape,Brak Farm,-30.60547,22.131243,2019-10-19,Tippett RM
4001,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4001,Opistophthalmus lornae,South Africa,Northern Cape,Louievale Farm,-30.66132,22.117953,2019-11-01,Tippett RM
4002,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4002,Opistophthalmus crassimanus,South Africa,Northern Cape,Brak Farm,-30.61005,22.105078,2019-11-15,Tippett RM
4003,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4003,Parabuthus laevifrons,South Africa,Northern Cape,Brak Farm,-30.61005,22.105078,2019-11-15,Tippett RM
4004,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4004,Parabuthus schlechteri,South Africa,Northern Cape,Brak Farm,-30.61005,22.105078,2019-11-15,Tippett RM
4005,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4005,Opistophthalmus lornae,South Africa,Northern Cape,Brak Farm,-30.61005,22.105078,2019-11-15,Tippett RM
4053,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4053,Opistophthalmus carinatus,South Africa,Northern Cape,Brak Farm,-30.60295,22.12367,2019-12-06,Tippett RM
4059,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4059,Opistophthalmus crassimanus,South Africa,Northern Cape,Brak Farm,-30.6027,22.126757,2019-12-20,Tippett RM
4161,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4161,Parabuthus schlechteri,South Africa,Northern Cape,Brak Farm,-30.61623,22.125676,2020-01-17,Tippett RM
4162,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4162,Opistophthalmus lornae,South Africa,Northern Cape,Brak Farm,-30.61623,22.125676,2020-01-17,Tippett RM
4163,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4163,Parabuthus granulatus,South Africa,Northern Cape,Brak Farm,-30.62856,22.111518,2020-01-17,Tippett RM
4164,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4164,Parabuthus granulatus,South Africa,Northern Cape,Brak Farm,-30.62856,22.111518,2020-01-17,Tippett RM
4170,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4170,Parabuthus nanus,South Africa,Northern Cape,Brak Farm,-30.60562,22.099346,2020-01-25,Tippett RM
4171,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4171,Parabuthus schlechteri,South Africa,Northern Cape,Brak Farm,-30.60562,22.099346,2020-01-25,Tippett RM
4172,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4172,Opistophthalmus carinatus,South Africa,Northern Cape,Brak Farm,-30.60562,22.099346,2020-01-25,Tippett RM
