vmNumber,institutionCode,URL,scientificName,country,stateProvince,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,recordedBy
1881,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-1881,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2015-03-05,Frank Kruger
1882,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-1882,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2015-03-06,Frank Kruger
1883,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-1883,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2015-03-06,Frank Kruger
1903,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-1903,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2015-10-30,Frank Kruger
1917,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-1917,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2015-09-08,Frank Kruger
1918,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-1918,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2015-09-08,Frank Kruger
1919,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-1919,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2015-09-08,Frank Kruger
1934,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-1934,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2015-12-15,Frank Kruger
1935,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-1935,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2016-01-11,Frank Kruger
2006,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-2006,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2016-02-02,Frank Kruger
2027,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-2027,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2015-09-21,Frank Kruger
2057,Mogalakwena Research Center,http://vmus.adu.org.za/?vm=scorpionmap-2057,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena research centre,-22.71956,28.79794,2014-12-20,Frank Kruger
2080,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2080,Hadogenes troglodytes,South Africa,Limpopo,Farm: WYDEHOEK 216,-24.02689,28.62601,2016-11-09,Neser W
2082,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2082,Hadogenes troglodytes,South Africa,Limpopo,"Senotwan Koppie,Farm: WYDEHOEK 216",-24.04708,28.629183,2016-11-09,Neser W
2120,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2120,Hadogenes troglodytes,Zimbabwe,Matabeleland North,Matsheumhlope,-20.19875,28.636447,2015-12-06,Pegg Nicola
2144,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2144,Hadogenes troglodytes,South Africa,Limpopo,Swebe-Swebe Maria Kamp,-23.79251,28.060138,2016-11-23,Heymans J
2178,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2178,Hadogenes troglodytes,South Africa,Limpopo,Karongwe Game Reserve,-24.2698,30.610506,2016-12-03,Hawkins Ross
2207,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2207,Hadogenes troglodytes,South Africa,Limpopo,Pafuri River Camp,-22.40543,31.029682,2016-12-01,van Huyssteen Ryan; Melissa Petford
2219,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2219,Hadogenes troglodytes,South Africa,Limpopo,"Medike Mountain Sanctuary, Soutpansberg",-22.98713,29.614583,2016-11-16,van Huyssteen Ryan; Melissa Petford
2233,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2233,Hadogenes troglodytes,South Africa,Limpopo,Open flood plains mixed with patches of Acacia species,-22.38009,31.218338,2016-12-17,Hawkins Ross
2334,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2334,Hadogenes troglodytes,South Africa,Limpopo,Thaba Mileetsi,-24.57414,27.657063,2009-04-06,Neser W
2345,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2345,Hadogenes troglodytes,South Africa,Limpopo,"Medike Mountain Sanctuary, Soutpansberg",-22.98713,29.614583,2017-01-20,van Huyssteen Ryan; Melissa Petford
2346,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2346,Hadogenes troglodytes,South Africa,Limpopo,"Medike Mountain Sanctuary, Soutpansberg",-22.98713,29.614583,2017-01-20,van Huyssteen Ryan; Melissa Petford
2410,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2410,Hadogenes troglodytes,South Africa,Limpopo,Ratho,-22.23094,29.022445,2017-01-20,van Huyssteen Ryan; Melissa Petford
2411,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2411,Hadogenes troglodytes,South Africa,Limpopo,Ratho,-22.23094,29.022445,2017-01-20,van Huyssteen Ryan; Melissa Petford
2413,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2413,Hadogenes troglodytes,South Africa,Limpopo,R572,-22.24564,29.362034,2017-02-28,van Huyssteen Ryan; Melissa Petford
2445,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2445,Hadogenes troglodytes,South Africa,Limpopo,"SandRiver Safaris, Dorothy Farm",-22.50354,29.95367,2017-03-04,Loftie-Eaton M; Ian Engelbrecht
2463,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2463,Hadogenes troglodytes,South Africa,Limpopo,Pridelands,-24.31489,30.966553,2017-03-25,Loftie-Eaton M; Ian Engelbrecht
2570,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2570,Hadogenes troglodytes,South Africa,Limpopo,Karongwe Game Reserve,-24.2698,30.610506,2017-03-31,Hawkins Ross
2647,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2647,Hadogenes troglodytes,South Africa,Limpopo,Selati Game Reserve,-23.96415,30.725669,2017-07-11,Hawkins Ross
2696,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2696,Hadogenes troglodytes,South Africa,Limpopo,Farm Lekkersmaak,-23.96062,30.840425,2016-03-02,Aaron  Gradidge
2877,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2877,Hadogenes troglodytes,South Africa,Limpopo,"Swebe-swebe, near Maria lodge",-23.79316,28.060186,2017-11-24,Oschadleus HD
2878,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2878,Hadogenes troglodytes,South Africa,Limpopo,"Swebe-swebe, near Maria lodge",-23.79316,28.060186,2017-11-24,Oschadleus HD
2927,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2927,Hadogenes troglodytes,South Africa,Limpopo,Blouberg Massif (Not BNR),-23.06828,28.983269,2017-12-21,Neser W
3022,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3022,Hadogenes troglodytes,South Africa,Limpopo,Farm Vrienden 589,-22.67411,29.819356,2018-01-17,Kamffer D; Riaan Robbeson;Lukas Niemand;Christian Deschodt
3094,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3094,Hadogenes troglodytes,South Africa,Limpopo,"Thabazimbi district2427DA/DB",-24.7402,27.738098,2018-02-06,Steyn Annelize
3257,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3257,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena Research Centre,-22.71959,28.776744,2018-03-16,Leenhouts Marcus Abraham Cornelis
3276,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3276,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena Research Centre,-22.72548,28.77521,2018-06-01,Laver Peter Norman
3277,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3277,Hadogenes troglodytes,South Africa,Limpopo,Mogalakwena Research Centre,-22.71959,28.776744,2018-06-01,Leenhouts Marcus Abraham Cornelis
3386,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3386,Hadogenes troglodytes,South Africa,Limpopo,Blouberg Nature Reserve,-22.96898,29.0839,2018-08-22,van Huyssteen Ryan; Melissa Petford; Ruan Stander
3475,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3475,Hadogenes troglodytes,South Africa,Limpopo,Campfornis,-22.67697,29.017042,2018-10-11,van Huyssteen Ryan; Melissa Petford
4306,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4306,Hadogenes troglodytes,South Africa,Limpopo,Kransberg,-24.49227,27.618758,2019-03-24,Cilliers Andries
3646,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3646,Hadogenes troglodytes,South Africa,Limpopo,"Makuleke contractual park, Kruger national park",-22.38505,31.154421,2019-01-04,Hawkins R
3648,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3648,Hadogenes troglodytes,South Africa,Limpopo,"Makuleke contractual park, Kruger national park",-22.38505,31.154421,2019-01-04,Hawkins R
3693,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3693,Hadogenes troglodytes,South Africa,Limpopo,"On the way to the waterboard, just past Foskor Mine.",-24.00925,31.114029,2018-12-28,Troskie Eugene Anton; Rion Lerm
3696,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3696,Hadogenes troglodytes,South Africa,Limpopo,"Masorini Hill, Kruger National Park",-23.91996,31.262916,2019-02-08,Troskie Eugene Anton; Lerm Rion
3697,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3697,Hadogenes troglodytes,South Africa,Limpopo,"Masorini Hill, Kruger National Park",-23.91996,31.262916,2019-02-08,Troskie Eugene Anton; Lerm Rion
3893,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3893,Hadogenes troglodytes,South Africa,Limpopo,Raptors View Wildlife Estate,-24.3875,30.945,2018-12-28,Solomon D
3812,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3812,Hadogenes troglodytes,South Africa,Limpopo,"Medike Mountain Sanctuary, Soutpansberg",-22.98713,29.614583,2018-10-31,van Huyssteen Ryan; Melissa Petford
3853,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3853,Hadogenes troglodytes,South Africa,Limpopo,"Medike Mountain Sanctuary, Soutpansberg",-22.98713,29.614583,2019-12-09,van Huyssteen Ryan; Melissa Petford
3858,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3858,Hadogenes troglodytes,South Africa,Limpopo,Tshipise (Honnet),-22.62287,30.170552,2019-06-03,van Huyssteen Ryan; Melissa Petford
3861,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3861,Hadogenes troglodytes,South Africa,Limpopo,"Farms Leek and Suprise, Soutpansberg",-22.99504,29.690435,2019-04-14,van Huyssteen Ryan; Melissa Petford
4024,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4024,Hadogenes troglodytes,Botswana,,Mashatu Game Reserve,-22.22092,28.970453,2019-11-21,Hawkins R
